1 50.0 20 20 GrandRequin.png
2 50.0 120 120 Requin.png 
3 50.0 220 220 Marlin.png
4 50.0 320 320 Thon.png
5 50.0 420 420 Lancet.png 
6 50.0 520 520 Squid.png 
7 50.0 100 300 Mackerel.png 
8 50.0 100 500 Lantern.png 
9 50.0 200 100 Amphipods.png
10 50.0 300 100 Sunfish.png 
11 50.0 50 50 Crevette.png 
12 50.0 600 600 Dinoflagellates.png 
0 1 2 50.0
1 1 3 50.0
2 1 4 50.0
3 2 4 50.0
4 2 5 50.0
5 2 6 50.0
6 2 7 50.0
7 3 4 50.0
8 3 5 50.0
9 3 6 50.0
10 4 6 50.0
11 4 7 50.0
12 4 9 50.0
13 4 11 50.0
14 5 6 50.0
15 5 7 50.0
16 5 9 50.0
17 6 8 50.0
18 10 11 50.0
19 11 12 50.0
